,name,houseID,houseZip,rentAmount,paymentDate_clean,dob_clean,paymentAmount_clean
54,Jonie Hodes,1144,92199,1817.0,2010-01-02,1972-02-05,1817.0
55,Kaley Delaune,1181,92194,1247.0,2010-01-02,,1247.0
56,Darren Tucker,510,92133,1584.0,2010-01-02,,1584.0
57,Jennie Carnegie,1097,92190,1681.0,2010-01-02,2000-01-01,1681.0
58,Tracey Chrisman,2312,92174,2127.0,2010-01-02,2000-01-01,2127.0
59,Kisha Macias,1267,92199,1342.0,2010-01-02,1977-03-12,1342.0
60,Keesha Otis,1233,92190,1394.0,2010-01-02,,1394.0
61,Mallory Divito,1543,92106,1592.0,2010-01-02,2000-01-01,1592.0
62,Muriel Sprow,1736,92142,1328.0,2010-01-02,,1328.0
63,Christian Arredondo,394,92121,1231.0,2010-01-02,,1231.0
64,Debbie Holley,530,92160,1753.0,2010-01-02,2000-01-01,1753.0
65,Tuan Delrio,2335,92135,1701.0,2010-01-02,1975-07-05,1701.0
66,Georgene Cropper,832,92191,1567.0,2010-01-02,1970-07-09,1567.0
67,Shirly Bruneau,2136,92104,1445.0,2010-01-02,2064-08-01,1445.0
68,Franklin Digregorio,799,92123,832.0,2010-01-02,2000-01-01,832.0
69,Melony Seavey,1664,92123,1481.0,2010-01-02,2000-01-01,1481.0
70,Pearly Shipe,1875,92127,1470.0,2010-01-02,2000-01-01,1470.0
71,Francisca Heth,795,92115,1681.0,2010-01-02,1973-11-04,1681.0
72,Candace Yau,282,92145,1290.0,2010-01-02,,1290.0
73,Margorie Prichett,1571,92103,1296.0,2010-01-02,2000-01-01,1296.0
74,Lorenza Holdridge,1448,92179,1665.0,2010-01-02,2047-02-03,1665.0
75,Lucilla Broderick,1474,92159,1439.0,2010-01-02,2000-01-01,1439.0
76,Leida Yap,1371,92124,1716.0,2010-01-02,,1716.0
77,Zachery Winford,2465,92127,1503.0,2010-01-02,2000-01-01,1503.0
78,Chante Mowery,361,92129,1555.0,2010-01-02,2000-01-01,1555.0
79,Rupert Hutchings,2011,92177,1405.0,2010-01-02,,1405.0
80,Joetta Zielinski,1125,92155,1663.0,2010-01-02,2000-01-01,1663.0
81,Emmanuel Fleisher,700,92102,1893.0,2010-01-02,2000-01-01,1893.0
82,Marcellus Germany,1552,92159,1988.0,2010-01-02,2000-01-01,1988.0
83,Kirstin Greenleaf,1264,92164,1070.0,2010-01-02,1970-04-10,1070.0
84,Lakenya Ballantine,1307,92135,1057.0,2010-01-02,1997-11-07,1057.0
85,Tabatha Wysong,2197,92174,1630.0,2010-01-02,2000-01-01,1630.0
86,Georgette Kowalczyk,834,92136,2303.0,2010-01-02,1986-12-05,2303.0
87,Penny Heintzelman,1880,92176,1757.0,2010-01-02,2000-01-01,1757.0
88,Tequila Magee,2241,92175,1264.0,2010-01-02,,1264.0
89,Nicola Almeda,1791,92153,1498.0,2010-01-02,2000-01-01,1498.0
90,Marleen Thibodeaux,1605,92147,1514.0,2010-01-02,1995-09-04,1514.0
91,Terri Dubuisson,2249,92139,1248.0,2010-01-02,2000-01-01,1248.0
92,Justine Wu,1177,92107,1580.0,2010-01-02,2000-01-01,1580.0
93,Christa Gobel,393,92187,1580.0,2010-01-02,,1580.0
94,Elise Ramsdell,659,92130,1558.0,2010-01-02,2000-01-01,1558.0
95,Clarine Moshier,410,92139,1932.0,2010-01-02,2000-01-01,1932.0
96,Mamie Remus,1546,92199,1393.0,2010-01-02,,1393.0
97,Catrina Constantine,341,92169,2079.0,2010-01-02,2000-01-01,2079.0
98,Alden Vandever,38,92124,1525.0,2010-01-02,2000-01-01,-228.75
99,Alaina Stutzman,29,92191,1232.0,2010-01-02,,1232.0
100,Leontine Yeates,1400,92112,1901.0,2010-01-02,,1901.0
101,Nannie Richey,1756,92132,1252.0,2010-01-02,2000-01-01,1252.0
102,Lynell Hermes,1496,92117,1745.0,2010-01-02,,1745.0
103,Shanda Kubik,2068,92111,1104.0,2010-01-02,2000-01-01,1104.0
104,Gussie Breitenbach,890,92179,1840.0,2010-01-02,2000-01-01,1840.0
105,Carmine Tappan,316,92155,1342.0,2010-01-02,2000-01-01,1342.0
106,Carmelita Ritzer,311,92136,1471.0,2010-01-02,1969-03-09,1471.0
107,Holli Gilliard,944,92197,1768.0,2010-01-02,,1768.0
108,Sandy Mckie,2045,92174,1637.0,2010-01-02,,1637.0
109,Lettie Houchins,1410,92155,1133.0,2010-01-02,2000-01-01,1133.0
110,Marcelino Benard,1549,92152,1293.0,2010-01-02,1979-12-10,1293.0
111,Dortha Holtzman,604,92111,1611.0,2010-01-02,1979-06-02,1611.0
112,Loretta Hauk,1451,92108,1226.0,2010-01-02,2000-01-01,1226.0
113,Dana Mckamey,480,92167,1656.0,2010-01-02,2000-01-01,1656.0
114,Ursula Celestine,2350,92166,1667.0,2010-01-02,1989-07-05,1667.0
115,Magali Leveque,1519,92134,1422.0,2010-01-02,,1422.0
116,Lynetta Soltani,1498,92172,1316.0,2010-01-02,2000-01-01,1316.0
117,Romeo Junge,1962,92191,1295.0,2010-01-02,1974-09-04,1295.0
118,Jeromy Rickert,1103,92123,1236.0,2010-01-02,1994-08-09,1236.0
119,Logan Cunningham,1438,92152,1279.0,2010-01-02,,1279.0
120,Babette Sharrow,175,92110,1629.0,2010-01-02,,1629.0
121,Ambrose Puthoff,79,92184,1766.0,2010-01-02,1981-10-12,1766.0
122,Clay Barrington,419,92103,1190.0,2010-01-02,1900-01-01,1190.0
123,Asuncion Leath,160,92158,1469.0,2010-01-02,1972-05-02,1469.0
124,Dreama Tugwell,611,92112,1442.0,2010-01-02,2000-01-01,1442.0
125,Gema Gomer,822,92195,1016.0,2010-01-02,2000-01-01,1016.0
126,Jeanelle Westby,1078,92171,1900.0,2010-01-02,2000-01-01,1900.0
127,Millard Woodford,1704,92129,1066.0,2010-01-02,2000-01-01,1066.0
128,Avril Densmore,172,92113,1512.0,2010-01-02,1966-03-17,1512.0
129,Evalyn Trabert,745,92138,1695.0,2010-01-02,2000-01-01,1695.0
130,Katina Skillings,1215,92131,1518.0,2010-01-02,1983-09-11,1518.0
131,Nan Kueter,1753,92112,1415.0,2010-01-02,,1415.0
132,Loise Wichman,1440,92120,1707.0,2010-01-02,,1707.0
133,Rea Carmen,1922,92158,1411.0,2010-01-02,1972-12-05,1411.0
134,Eva Bamburg,743,92123,1398.0,2010-01-02,2000-01-01,1398.0
135,Elsa Vivas,673,92116,2090.0,2010-01-02,2000-01-01,2090.0
136,Tennille Crunk,2237,92171,1238.0,2010-01-02,,1238.0
137,Madeline Chae,1515,92131,1605.0,2010-01-02,1977-05-05,1605.0
138,Danae Rosenbeck,479,92160,1497.0,2010-01-02,,1497.0
139,Lashaunda Weingartner,1334,92155,1341.0,2010-01-02,2000-01-01,1341.0
140,Debera Italiano,532,92186,1024.0,2010-01-02,2000-01-01,1024.0
141,Theresia Trowell,2263,92136,867.0,2010-01-02,,867.0
142,Tatum Moodie,2228,92197,864.0,2010-01-02,1988-05-07,864.0
143,Hanna Maury,908,92120,1364.0,2010-01-02,,1364.0
144,Jennell Buchholtz,1095,92196,1744.0,2010-01-02,,1744.0
145,Rosalind Reinbold,1975,92139,1322.0,2010-01-02,2000-01-01,1322.0
146,Louise Fairless,1459,92135,1580.0,2010-01-02,,1580.0
147,Leigh Culton,1374,92140,2005.0,2010-01-02,1987-08-09,2005.0
148,Jovan Pursley,1161,92121,1708.0,2010-01-02,2000-01-01,1708.0
149,Efren Wilk,634,92193,2298.0,2010-01-02,1939-05-10,2298.0
150,Roselyn Bolger,1987,92182,1373.0,2010-01-02,2000-01-01,1373.0
151,Marybeth Gula,1629,92109,1746.0,2010-01-02,2066-05-05,1746.0
152,Sharron Frizzell,2094,92195,824.0,2010-01-02,2000-01-01,824.0
153,Aurora Mccarley,168,92154,1531.0,2010-01-02,1970-09-02,1531.0
154,Dion Wingrove,585,92132,1184.0,2010-01-02,2000-01-01,1184.0
155,Tobias Zirkind,2286,92130,1109.0,2010-01-02,2000-01-01,1109.0
156,Russel Lambson,2012,92106,1605.0,2010-01-02,2000-01-01,1605.0
157,Mitzi Sheckler,1721,92160,1527.0,2010-01-02,2000-01-01,1527.0
158,Wilmer Carlin,2435,92114,1627.0,2010-01-02,2000-01-01,1627.0
159,Liliana Erving,1418,92137,1290.0,2010-01-02,2000-01-01,1290.0
160,Leisa Pettry,1378,92175,1379.0,2010-01-02,2000-01-01,1379.0
161,Jerilyn Dunson,1100,92187,928.0,2010-01-02,2000-01-01,928.0
162,Alma Balboa,62,92186,1041.0,2010-01-02,,1041.0
163,Ellan Lazaro,662,92191,1932.0,2010-01-02,,1932.0
164,Jaymie Manzanares,1068,92130,1495.0,2010-01-02,2000-01-01,1495.0
165,Eunice Malik,741,92153,1274.0,2010-01-02,2000-01-01,1274.0
166,Demarcus Edler,555,92123,1622.0,2010-01-02,,1622.0
167,Daria Vangieson,507,92120,1626.0,2010-01-02,,1626.0
168,Stanton Rahim,2172,92102,1403.0,2010-01-02,2037-08-08,1403.0
169,Ryan Heng,2020,92106,1468.0,2010-01-02,1900-01-01,1468.0
170,Morris Poage,1730,92137,1617.0,2010-01-02,2000-01-01,1617.0
171,Rosa Helman,1970,92113,1363.0,2010-01-02,1962-05-03,1363.0
172,Onie Tuck,1844,92110,1828.0,2010-01-02,2000-01-01,1828.0
173,Helga Deshon,928,92149,2034.0,2010-01-02,2000-01-01,2034.0
174,Floretta Slemp,782,92193,1655.0,2010-01-02,,1655.0
175,Laronda Humiston,1326,92169,1178.0,2010-01-02,,1178.0
176,Britni Pagel,248,92187,1481.0,2010-01-02,2000-01-01,1481.0
177,Denny Paschall,561,92130,1077.0,2010-01-02,2000-01-01,1077.0
178,Weldon Strunk,2416,92159,1436.0,2010-01-02,2000-01-01,1436.0
179,Sheri Fehr,2119,92102,1296.0,2010-01-02,1979-09-02,1296.0
180,Janel Schranz,1033,92117,1256.0,2010-01-02,2000-01-01,1256.0
181,Lashawn Rotella,1336,92190,1930.0,2010-01-02,1985-12-05,1930.0
182,Maggie Balls,1529,92150,1587.0,2010-01-02,2000-01-01,1587.0
183,Jammie Greenlaw,1026,92152,1776.0,2010-01-02,2000-01-01,1776.0
184,Merrie Amaker,1674,92150,1956.0,2010-01-02,,1956.0
185,Colene Fitts,436,92139,1435.0,2010-01-02,1982-07-08,1435.0
186,Elia Veasey,657,92111,1455.0,2010-01-02,,1455.0
187,Carolyne Radley,322,92194,1344.0,2010-01-02,2000-01-01,1344.0
188,Melida Demaree,1657,92127,1384.0,2010-01-02,2000-01-01,1384.0
189,Sherry Chaplin,2126,92137,1762.0,2010-01-02,1900-01-01,1762.0
190,Sandee Vance,2043,92167,1340.0,2010-01-02,,1340.0
191,Vernetta Hennessy,2369,92126,1592.0,2010-01-02,2000-01-01,1592.0
192,Queen Hy,1901,92155,1274.0,2010-01-02,2000-01-01,1274.0
193,Lucila Fender,1470,92190,1390.0,2010-01-02,2000-01-01,1390.0
194,Lynsey Juhl,1501,92166,1233.0,2010-01-02,2011-07-07,
195,Breanna Bowden,240,92167,1623.0,2010-01-02,,1623.0
196,Keenan Chung,1230,92131,1357.0,2010-01-02,,1357.0
197,Gidget Mccullah,847,92197,1482.0,2010-01-02,2000-01-01,1482.0
198,Julissa Sandlin,1175,92121,1771.0,2010-01-02,1972-01-18,1771.0
199,Kemberly Currence,1236,92190,1902.0,2010-01-02,2000-01-01,1902.0
200,Maryland Ashmore,1630,92131,1957.0,2010-01-02,2000-01-01,1957.0
201,Teri Alderson,2246,92116,1344.0,2010-01-02,,1344.0
202,Luanna Buchwald,1468,92191,1267.0,2010-01-02,1977-01-05,1267.0
203,Marva Casseus,1618,92182,1595.0,2010-01-02,,1595.0
204,Shawnda Damron,2097,92102,1704.0,2010-01-02,1900-01-01,1704.0
205,Beverlee Vail,209,92154,1754.0,2010-01-02,,1754.0
206,Betsey Son,205,92162,1560.0,2010-01-02,1980-08-15,1560.0
207,Leda Willsey,1367,92154,1367.0,2010-01-02,,1367.0
208,Corinne Cimini,449,92107,1731.0,2010-01-02,,1731.0
209,Rosalind Alaniz,1974,92187,1800.0,2010-01-02,2000-01-01,1800.0
210,Krystal Dombrosky,1283,92130,1614.0,2010-01-02,2000-01-01,1614.0
211,Elanor Situ,638,92114,1840.0,2010-01-02,1900-01-01,1840.0
212,Rossana Janecek,1994,92142,2053.0,2010-01-02,2000-01-01,2053.0
213,Jason Macmaster,1059,92135,1779.0,2010-01-02,,1779.0
214,Mercedez Ferranti,1666,92162,2229.0,2010-01-02,2056-01-08,2229.0
215,Claudio Anson,417,92139,1687.0,2010-01-02,2000-01-01,1687.0
216,Matilde Sollars,1643,92199,1797.0,2010-01-02,,1797.0
217,Gay Botelho,816,92196,1818.0,2010-01-02,1977-07-08,1818.0
218,Craig Jasmin,455,92194,1791.0,2010-01-02,2000-01-01,1791.0
219,Joey Loth,1127,92192,1297.0,2010-01-02,2065-04-08,1297.0
220,Twila Alfieri,2337,92171,972.0,2010-01-02,2000-01-01,972.0
221,Nelida Drinkwater,1772,92121,1708.0,2010-01-02,2000-01-01,1708.0
222,Fe Ditch,757,92158,1244.0,2010-01-02,2000-01-01,1244.0
223,Sheryll Isenberg,2128,92115,896.0,2010-01-02,2000-01-01,896.0
224,Delmar Tousant,542,92191,1628.0,2010-01-02,2000-01-01,1628.0
225,Kerstin Hypolite,1245,92110,1082.0,2010-01-02,2000-01-01,1082.0
226,Deandra Tagle,524,92193,1842.0,2010-01-02,,1842.0
227,Jerrica Folden,1105,92119,1847.0,2010-01-02,1977-10-07,1847.0
228,Carol Dacosta,317,92150,1446.0,2010-01-02,1987-07-05,1446.0
229,Mirta Nicolson,1716,92152,1175.0,2010-01-02,1900-01-01,1175.0
230,Kizzy Finkbeiner,1271,92176,1369.0,2010-01-02,,1369.0
231,Birgit Strackbein,214,92194,1662.0,2010-01-02,2000-01-01,1662.0
232,Lucio Culler,1475,92179,1337.0,2010-01-02,1988-03-10,1337.0
233,Lory Kothari,1458,92142,1525.0,2010-01-02,,1525.0
234,Roselyn Richerson,1988,92115,1734.0,2010-01-02,2000-01-01,1734.0
235,Breanne Haught,242,92131,1416.0,2010-01-02,1979-05-09,1416.0
236,Louvenia Meuser,1461,92132,1520.0,2010-01-02,2000-01-01,1520.0
237,Antonina Sokolowski,123,92108,1293.0,2010-01-02,2000-01-01,1293.0
238,Moshe Woodbridge,1732,92193,1477.0,2010-01-02,2000-01-01,1477.0
239,Xiomara Mcnabb,2441,92177,1227.0,2010-01-02,,1227.0
240,Millard Crisci,1702,92116,1694.0,2010-01-02,1995-08-10,1694.0
241,Chastity Dowell,372,92172,1484.0,2010-01-02,,1484.0
242,Tawanna Porath,2229,92113,1646.0,2010-01-02,2000-01-01,1646.0
243,Debroah Morlan,534,92122,1776.0,2010-01-02,2000-01-01,1776.0
244,Robyn Rickett,1954,92130,1845.0,2010-01-02,1900-01-01,1845.0
245,Anika Fetzer,102,92131,1825.0,2010-01-02,2000-01-01,1825.0
246,Odessa Mcgown,1832,92155,1392.0,2010-01-02,1993-02-07,1392.0
247,Lane Scroggs,1316,92160,1364.0,2010-01-02,2000-01-01,1364.0
248,Ocie Mccomb,1824,92196,1250.0,2010-01-02,,1250.0
249,Ellamae Wimmer,661,92153,1408.0,2010-01-02,2000-01-01,1408.0
250,Joy Rowlands,1162,92123,1040.0,2010-01-02,2000-01-01,1040.0
251,Chi Demery,389,92192,1622.0,2010-01-02,,1622.0
252,Michaele Threlkeld,1685,92101,1470.0,2010-01-02,,1470.0
253,Josue Baden,1160,92112,1903.0,2010-01-02,1987-07-21,1903.0
254,Thea Gettings,2259,92142,1574.0,2010-01-02,1900-01-01,1574.0
255,Lore Baird,1447,92167,1220.0,2010-01-02,1900-01-01,1220.0
256,Natalie Fenton,1759,92116,1940.0,2010-01-02,2000-01-01,1940.0
257,Domitila Olvera,594,92149,2321.0,2010-01-02,2000-01-01,2321.0
258,Vernice Daves,2371,92109,1628.0,2010-01-02,,1628.0
259,Leighann Neighbors,1373,92104,1981.0,2010-01-02,1969-01-07,1981.0
260,Nobuko Rodda,1804,92137,1267.0,2010-01-02,2011-11-10,1267.0
261,Rita Russom,1952,92182,1646.0,2010-01-02,2030-05-12,1646.0
262,Cortez Cangelosi,453,92133,1135.0,2010-01-02,2000-01-01,1135.0
263,Jasmin Bryden,1057,92114,1361.0,2010-01-02,,1361.0
264,Phung Craw,1887,92162,1257.0,2010-01-02,2054-02-09,1257.0
265,Ron Wine,1968,92194,1634.0,2010-01-02,,1634.0
266,Willetta Herald,2430,92167,891.0,2010-01-02,1987-04-03,891.0
267,Luisa Boyle,1483,92112,1032.0,2010-01-02,2000-01-01,1032.0
268,Boris Tebbs,228,92137,1334.0,2010-01-02,,1334.0
269,Meghan Poynter,1652,92129,1767.0,2010-01-02,,1767.0
270,Jodee Grimsley,1121,92165,1186.0,2010-01-02,,1186.0
271,Kaley Rotondo,1183,92155,1025.0,2010-01-02,1900-01-01,1025.0
272,Isabell Elliston,983,92177,1738.0,2010-01-02,,1738.0
273,Wai Legge,2399,92165,2115.0,2010-01-02,2000-01-01,2115.0
274,Marlon Guarnieri,1609,92112,1267.0,2010-01-02,2000-01-01,1267.0
275,Brice Mahaney,245,92171,1626.0,2010-01-02,,1626.0
276,Ed Mcmunn,625,92160,1324.0,2010-01-02,2000-01-01,1324.0
277,Adan Havlik,11,92138,1794.0,2010-01-02,1996-04-23,1794.0
278,Viviana Fason,2394,92193,982.0,2010-01-02,2000-01-01,
279,Signe Birney,2141,92115,1228.0,2010-01-02,2000-01-01,1228.0
280,Becky Oh,188,92182,994.0,2010-01-02,1981-11-02,994.0
281,Tyson Delorenzo,2345,92140,1378.0,2010-01-02,,1378.0
282,Mona Bucklin,1726,92121,1486.0,2010-01-02,,1486.0
283,Almeda Sanders,63,92113,1074.0,2010-01-02,2000-01-01,1074.0
284,Floria Sprenger,784,92104,1753.0,2010-01-02,2000-01-01,1753.0
285,Berneice Power,196,92123,1756.0,2010-01-02,,1756.0
286,Janita Noss,1046,92154,1343.0,2010-01-02,,1343.0
287,Fiona Vancamp,774,92145,1421.0,2010-01-02,2000-01-01,1421.0
288,Wanetta Fyfe,2407,92163,1353.0,2010-01-02,2000-01-01,1353.0
289,Jacquelyn Sergent,1008,92179,1764.0,2010-01-02,2000-01-01,1764.0
290,Maggie Favorite,1530,92174,1510.0,2010-01-02,,1510.0
291,Leif Ogburn,1372,92139,928.0,2010-01-02,,
292,Reanna Chouinard,1923,92153,1218.0,2010-01-02,2000-01-01,1218.0
293,Jamila Decuir,1025,92110,1334.0,2010-01-02,2000-01-01,1334.0
294,Norberto Lamphere,1811,92163,1743.0,2010-01-02,1971-02-11,1743.0
295,Leon Fujii,1395,92147,1224.0,2010-01-02,,1224.0
296,Abe Prophet,4,92161,1143.0,2010-01-02,2014-02-08,1143.0
297,Corrin Mask,451,92103,1528.0,2010-01-02,2000-01-01,1528.0
298,Gretchen Corbo,888,92166,1211.0,2010-01-02,1974-08-01,1211.0
299,Octavia Stoddard,1827,92121,1233.0,2010-01-02,2000-01-01,1233.0
300,Frederica Keisler,806,92165,1239.0,2010-01-02,,1239.0
301,Nieves Mercier,1796,92164,1486.0,2010-01-02,2000-01-01,1486.0
302,Shantae Bewley,2082,92111,1008.0,2010-01-02,1969-10-10,1008.0
303,Tracey Selke,2316,92175,1555.0,2010-01-02,1998-04-05,1555.0
304,Chana Santamaria,356,92167,1192.0,2010-01-02,2047-07-04,1192.0
305,Alberta Paugh,33,92160,1294.0,2010-01-02,2000-01-01,1294.0
306,Veronique Sparrow,2376,92153,1269.0,2010-01-02,1987-07-03,1269.0
307,Song Kubat,2156,92121,1892.0,2010-01-02,2000-01-01,1892.0
308,Mikki Penner,1699,92191,1862.0,2010-01-02,2000-01-01,1862.0
309,Tammy Jone,2211,92120,1490.0,2010-01-02,1981-05-10,1490.0
310,Clotilde Schultze,432,92147,1536.0,2010-01-02,1970-10-02,1536.0
311,Yelena Cloninger,2447,92197,1577.0,2010-01-02,2045-11-09,1577.0
312,Carie Croston,296,92138,1709.0,2010-01-02,2000-01-01,1709.0
313,Alethia Klick,41,92120,1187.0,2010-01-02,2068-04-06,1187.0
314,Porfirio Machnik,1892,92160,1255.0,2010-01-02,,1255.0
315,Darell Overson,506,92103,1684.0,2010-01-02,2000-01-01,1684.0
316,Jeannette Bartels,1082,92145,1500.0,2010-01-02,2000-01-01,1500.0
317,Lala Vaca,1311,92150,1672.0,2010-01-02,1995-04-02,1672.0
318,Jeannetta Fravel,1081,92184,831.0,2010-01-02,1962-07-08,831.0
319,Inge Campion,973,92192,1828.0,2010-01-02,2000-01-01,1828.0
320,Joaquina Leitner,1119,92171,1353.0,2010-01-02,2000-01-01,1353.0
321,Lucretia Covert,1476,92132,1534.0,2010-01-02,,1534.0
322,Misti Twining,1718,92176,718.0,2010-01-02,2064-02-01,718.0
323,Alleen Credle,58,92123,1892.0,2010-01-02,1973-02-11,1892.0
324,Cecily Straka,346,92177,2031.0,2010-01-02,2056-05-07,2031.0
325,Gianna Kelleher,842,92196,1481.0,2010-01-02,2000-01-01,1481.0
326,Paulette Currence,1867,92176,1492.0,2010-01-02,2000-01-01,1492.0
327,Jesenia Vass,1106,92107,1476.0,2010-01-02,1900-01-01,1476.0
328,Dong Vong,597,92132,1383.0,2010-01-02,2000-01-01,1383.0
329,Terrie Bonetti,2250,92187,2547.0,2010-01-02,,2547.0
330,Dayna Kerfoot,522,92163,1315.0,2010-01-02,2000-01-01,1315.0
331,Trudie Hilchey,2331,92186,972.0,2010-01-02,2000-01-01,972.0
332,Wei Losh,2414,92182,1539.0,2010-01-02,2068-04-10,1539.0
333,Gaye Donohue,817,92124,1398.0,2010-01-02,2000-01-01,1398.0
334,Leoma Enz,1390,92184,1841.0,2010-01-02,2000-01-01,1841.0
335,Kamala Harrison,1187,92128,1358.0,2010-01-02,2000-01-01,1358.0
336,Kristeen Mehler,1281,92171,1754.0,2010-01-02,1900-01-01,1754.0
337,Brigitte Prom,246,92164,1743.0,2010-01-02,2000-01-01,1743.0
338,Buffy Bruening,262,92147,1452.0,2010-01-02,2000-01-01,1452.0
339,Raylene Paff,1916,92129,1020.0,2010-01-02,,1020.0
340,Norma Hartl,1816,92147,1520.0,2010-01-02,2000-01-01,1520.0
341,Susie Weekly,2193,92103,1335.0,2010-01-02,1900-01-01,1335.0
342,Oda Poirer,1829,92197,1352.0,2010-01-02,2000-01-01,1352.0
343,Gaynell Desjardin,820,92131,1749.0,2010-01-02,,1749.0
344,Joetta Hiner,1124,92172,1733.0,2010-01-02,2000-01-01,1733.0
345,Abel Emmett,3,92107,1802.0,2010-01-02,,1802.0
346,Fransisca Scrivens,802,92112,1527.0,2010-01-02,1975-02-08,1527.0
347,Carlena Holeman,299,92123,1328.0,2010-01-02,,1328.0
348,Erik Gullett,710,92122,1322.0,2010-01-02,2054-11-03,1322.0
349,Georgia Amo,835,92166,1231.0,2010-01-02,,1231.0
350,Dodie Degennaro,587,92175,1366.0,2010-01-02,2000-01-01,1366.0
351,Lashaunda Kern,1332,92147,2134.0,2010-01-02,,2134.0
352,Karmen Kroner,1196,92192,1404.0,2010-01-02,2000-01-01,1404.0
353,Marlene Steenbergen,1606,92166,1609.0,2010-01-02,,1609.0
354,Latricia Bartholow,1343,92131,1464.0,2010-01-02,1969-09-05,1464.0
355,Shayla Hockensmith,2105,92163,1355.0,2010-01-02,2000-01-01,
356,Fernando Bordelon,768,92105,1720.0,2010-01-02,,1720.0
357,Tyler Schlatter,2342,92196,1326.0,2010-01-02,2000-01-01,1326.0
